372;234;639;778;36.5;0.01;98.6
401;158;655;789;36.5;0.01;98.6
434;230;672;806;36.5;0.01;98.6
449;338;681;815;36.5;0.01;98.6
442;538;674;809;36.5;0.01;98.6
418;513;667;803;36.5;0.01;98.6
401;444;662;797;36.5;0.01;98.6
408;334;658;795;36.5;0.01;98.6
436;282;660;796;36.5;0.01;98.6
466;298;666;801;36.5;0.01;98.6
477;423;666;801;36.5;0.01;98.6
464;307;660;798;36.5;0.01;98.6
437;350;664;800;36.5;0.01;98.6
421;488;659;796;36.5;0.01;98.6
434;570;653;790;36.5;0.01;98.6
462;433;646;786;36.5;0.01;98.6
480;371;640;780;36.5;0.01;98.6
473;308;638;778;36.5;0.01;98.6
448;217;650;788;36.5;0.01;98.6
429;287;664;800;36.5;0.01;98.6
435;330;669;806;36.5;0.01;98.6
461;412;664;801;36.5;0.01;98.6
480;319;663;799;36.5;0.01;98.6
475;442;658;796;36.5;0.01;98.6
447;464;653;792;36.5;0.01;98.6
422;414;646;786;36.5;0.01;98.6
419;434;642;780;36.5;0.01;98.6
439;406;634;775;36.5;0.01;98.6
460;419;628;770;36.5;0.01;98.6
460;351;624;766;36.5;0.01;98.6
434;359;621;764;36.5;0.01;98.6
408;351;620;762;36.5;0.01;98.6
406;364;617;759;36.5;0.01;98.6
428;356;612;756;36.5;0.01;98.6
452;352;611;754;36.5;0.01;98.6
454;361;608;752;36.5;0.01;98.6
432;359;606;750;36.5;0.01;98.6
406;350;604;748;36.5;0.01;98.6
398;333;604;746;36.5;0.01;98.6
415;345;603;746;36.5;0.01;98.6
441;373;601;745;36.5;0.01;98.6
448;395;598;742;36.5;0.01;98.6
428;354;593;738;36.5;0.01;98.6
399;379;590;735;36.5;0.01;98.6
386;439;585;732;36.5;0.01;98.6
403;436;580;727;36.5;0.01;98.6
431;359;578;724;36.5;0.01;98.6
444;381;574;721;36.5;0.01;98.6
427;388;569;718;36.5;0.01;98.6
397;377;565;714;36.5;0.01;98.6
382;371;562;711;36.5;0.01;98.6
394;357;559;708;36.5;0.01;98.6
421;371;557;706;36.5;0.01;98.6
435;366;554;703;36.5;0.01;98.6
423;375;552;702;36.5;0.01;98.6
394;374;548;698;36.5;0.01;98.6
374;358;546;696;36.5;0.01;98.6
382;367;544;694;36.5;0.01;98.6
410;382;543;692;36.5;0.01;98.6
433;384;537;689;36.5;0.01;98.6
428;384;534;686;36.5;0.01;98.6
399;389;531;683;36.5;0.01;98.6
375;391;527;680;36.5;0.01;98.6
377;384;524;676;36.5;0.01;98.6
403;372;521;674;36.5;0.01;98.6
426;367;519;672;36.5;0.01;98.6
425;369;516;670;36.5;0.01;98.6
400;369;514;668;36.5;0.01;98.6
375;377;511;666;36.5;0.01;98.6
374;377;509;663;36.5;0.01;98.6
399;379;508;662;36.5;0.01;98.6
424;354;505;660;36.5;0.01;98.6
425;367;504;659;36.5;0.01;98.6
402;378;503;657;36.5;0.01;98.6
375;398;499;655;36.5;0.01;98.6
369;376;497;652;36.5;0.01;98.6
388;374;494;650;36.5;0.01;98.6
412;382;492;648;36.5;0.01;98.6
418;383;491;646;36.5;0.01;98.6
400;380;487;644;36.5;0.01;98.6
375;368;485;642;36.5;0.01;98.6
367;366;484;641;36.5;0.01;98.6
386;373;482;639;36.5;0.01;98.6
412;362;480;638;36.5;0.01;98.6
423;361;480;638;36.5;0.01;98.6
404;366;479;637;36.5;0.01;98.6
373;375;478;636;36.5;0.01;98.6
358;391;476;634;36.5;0.01;98.6
371;359;474;632;36.5;0.01;98.6
400;360;473;632;36.5;0.01;98.6
416;351;475;632;36.5;0.01;98.6
404;370;474;632;36.5;0.01;98.6
375;389;472;630;36.5;0.01;98.6
358;391;469;628;36.5;0.01;98.6
367;411;467;626;36.5;0.01;98.6
394;407;464;624;36.5;0.01;98.6
